Title,Source,DOI,Year,Authenticus DT,WOS:000070984900003,Authenticus ID,Institution,NUTS II
Recovery of substrates and macro-benthos after fishing trials with a new Portuguese clam dredge,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,10.1017/s0025315403007690h,2003,Article,WOS:000185202300007,P-000-FRM,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Gill net selectivity for European hake Merluccius merluccius from southern Portugal: implications for fishery management,FISHERIES SCIENCE,10.1046/j.1444-2906.2003.00702.x,2003,Article,WOS:000186536500002,P-000-EYE,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
The efficacy of releasing caught Nephrops as a management measure,FISHERIES RESEARCH,10.1016/j.fishres.2003.09.033,2003,Article,WOS:000187361900032,P-000-E8B,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"Evaluation of eutrophication in the Ria Formosa coastal lagoon, Portugal",CONTINENTAL SHELF RESEARCH,10.1016/j.csr.2003.06.008,2003,Article,WOS:000187365500019,P-000-EJD,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"LIFE HISTORY OF THE COMMON PANDORA, Pagellus erythrinus (LINNAEUS, 1758) (ACTINOPTERYGII: SPARIDAE) FROM SOUTHERN PORTUGAL",BRAZILIAN JOURNAL OF OCEANOGRAPHY,10.1590/s1679-87592010000300006,2010,Article,WOS:000208242600006,P-003-532,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"Distribution of Fe, Mn, Cu and Cd in Upper Sediments and Sediment-Trap Material of Ria Formosa (Portugal)",JOURNAL OF COASTAL RESEARCH,NULL,2002,Article,WOS:000209071900014,P-00N-E3T,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Using a modified Nordmore grid for by-catch reduction in the Portuguese crustacean-trawl fishery,FISHERIES RESEARCH,10.1016/j.fishres.2004.08.018,2005,Article,WOS:000226445300008,P-000-4VB,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
First recorded specimen of the giant squid Architeuthis sp in Portugal,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,10.1017/s002531540501101xh,2005,Article,WOS:000228014500024,P-000-4XE,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Analysis of size spectra off northwest Africa: a useful indicator in tropical areas?,ICES JOURNAL OF MARINE SCIENCE,10.1016/j.icesjms.2005.01.014,2005,Article,WOS:000228705900018,P-000-3KW,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"Spawning of Hexaplex (Trunculariopsis) trunculus (Gastropoda : Muricidae) in the laboratory: description of spawning behaviour, egg masses, embryonic development, hatchling and juvenile growth rates",INVERTEBRATE REPRODUCTION & DEVELOPMENT,10.1080/07924259.2004.9652616,2004,Article,WOS:000229397300007,P-000-7GX,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Spatial and inter-annual variability of the macrobenthic communities within a coastal lagoon (Obidos lagoon) and its relationship with environmental parameters,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,10.1016/j.actao.2004.11.004,2005,Article,WOS:000230387100002,P-000-3DP,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"Correct diagnosis of early zoeal stages of Athanas nitescens (Leach, 1814) (Decapoda, Caridea, Alpheidae) using laboratory-raised larvae",JOURNAL OF PLANKTON RESEARCH,10.1093/plankt/fbi073,2005,Article,WOS:000234218500009,P-000-0RA,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"Growth rate estimation of Hexaplex (Trunculariopsis) trunculus (Gastropoda : Muricidae) based on mark/recapture experiments in the Ria Formosa lagoon (Algarve coast, southern Portugal)",JOURNAL OF SHELLFISH RESEARCH,10.2983/0730-8000(2006)25[249:greoht]2.0.co;2,2006,Article,WOS:000237149500030,P-004-MHE,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Growth and survival of post-larvae of sole (Solea senegalensis) in net cages at the bottom of earthen ponds,AQUACULTURE,10.1016/j.aquaculture.2006.05.052,2006,Article,WOS:000240559500032,P-004-H9G,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Thyroid gland development in Senegalese sole (Solea senegalensis Kaup 1858) during early life stages: A histochemical and immunohistochemical approach,AQUACULTURE,10.1016/j.aquaculture.2006.06.006,2006,Article,WOS:000240559700036,P-004-H4J,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Ecological implications of removing seagrass beds (Zostera noltii) for bivalve aquaculture in southern Portugal,CAHIERS DE BIOLOGIE MARINE,NULL,2006,Article,WOS:000241495600010,P-004-P98,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"Assessing mackerel scad, Decapterus macarellus, in Cape Verde: Using a Bayesian approach to biomass dynamic modelling in a data-limited situation",FISHERIES RESEARCH,10.1016/j.fishres.2006.06.005,2006,Article,WOS:000242494300022,P-004-FP8,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
The shell of Hexaplex (Trunculariopsis) trunculus (Gastropoda : Muricidae) as a mobile hard substratum for epibiotic polychaetes (Annelida : Polychaeta) in the Ria Formosa (Algarve coast-southern Portugal),HYDROBIOLOGIA,10.1007/s10750-006-0367-x,2007,Article,WOS:000242505000013,P-004-DB9,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"Amino acid profiles of Diplodus sargus (L., 1758) larvae: Implications for feed formulation",AQUACULTURE,10.1016/j.aquaculture.2006.08.016,2006,Article,WOS:000242506400015,P-004-G0V,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
The use of the marine biotic index AMBI in the assessment of the ecological status of the Obidos lagoon (Portugal),MARINE POLLUTION BULLETIN,10.1016/j.marpolbul.2006.04.004,2006,Article,WOS:000242512100022,P-004-GDJ,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Enrichment of aquaculture earthen ponds with Hediste diversicolor: Consequences for benthic dynamics and natural productivity,AQUACULTURE,10.1016/j.aquaculture.2006.11.028,2007,Article,WOS:000244547200007,P-004-BQY,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Evaluation of bioavailability of individual amino acids in Diplodus puntazzo larvae: Towards the ideal dietary amino acid profile,AQUACULTURE,10.1016/j.aquaculture.2006.10.027,2007,Article,WOS:000244547600020,P-004-B79,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Evaluation of ammonium and phosphate release from intertidal and subtidal sediments of a shallow coastal lagoon (Ria Formosa-Portugal): A modelling approach,BIOGEOCHEMISTRY,10.1007/s10533-007-9076-4,2007,Article,WOS:000244994300007,P-004-BX6,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA; NORTE
The market features of imported non-indigenous polychactes in Portugal and consequent ecological concerns,SCIENTIA MARINA,NULL,2006,Article,WOS:000245042300031,P-004-FYZ,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Effect of depth and reef structure on early macrobenthic communities of the Algarve artificial reefs (southern Portugal),HYDROBIOLOGIA,10.1007/s10750-006-0455-y,2007,Article,WOS:000245895800016,P-004-AW8,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Glutathione S-tranferases and cytochrome P450 activities in Mytilus galloprovincialis from the South coast of Portugal: Effect of abiotic factors,ENVIRONMENT INTERNATIONAL,10.1016/j.envint.2006.11.002,2007,Article,WOS:000246315800019,P-004-A83,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
The influence of white seabrearn (Diplodus sargus) production on macrobenthic colonization patterns,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,10.1016/j.actao.2007.01.002,2007,Article,WOS:000246909800009,P-004-A5M,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Hg and metallothionein-like proteins in the black scabbardfish Aphanopus carbo,FOOD AND CHEMICAL TOXICOLOGY,10.1016/j.fct.2007.02.003,2007,Article,WOS:000248970300016,P-004-8C0,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA; REGIAO AUTONOMA DA MADEIRA
An assessment of catches and harvest of recreational shore angling in the north of Portugal,FISHERIES MANAGEMENT AND ECOLOGY,10.1111/j.1365-2400.2007.00560.x,2007,Article,WOS:000249253300005,P-004-71R,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; NORTE
Effect of maternal fat reserves on the fatty acid composition of sardine (Sardina pilchardus) oocytes,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,10.1016/j.cbpb.2007.07.008,2007,Article,WOS:000251481700006,P-004-5WY,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Rebuilding viable spawner patches of the overfished Spisula solida (Mollusca : Bivalvia): a preliminary contribution to fishery sustainability,ICES JOURNAL OF MARINE SCIENCE,10.1093/icesjms/fsm167,2008,Article,WOS:000252523100007,P-004-3F6,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"First record of the genus Periclimenaeus borradaile, 1815 (decapoda : palaemoniidae : pontoniinae) in the northeastern Atlantic, with the description of a new species, Periclimenaeus aurae",JOURNAL OF CRUSTACEAN BIOLOGY,10.1651/07-2852r.1,2008,Article,WOS:000252618200014,P-004-1TE,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA; REGIAO AUTONOMA DA MADEIRA
Long-term changes in fish communities of the Ria Formosa coastal lagoon (southern Portugal) based on two studies made 20 years apart,ESTUARINE COASTAL AND SHELF SCIENCE,10.1016/j.ecss.2007.06.001,2008,Article,WOS:000252791800007,P-004-35Y,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
The effect of predation on artificial reef juvenile demersal fish species,MARINE BIOLOGY,10.1007/s00227-007-0898-3,2008,Article,WOS:000253351000021,P-004-19D,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Diet and feeding intensity of sardine Sardina pilchardus: correlation with satellite-derived chlorophyll data,MARINE ECOLOGY PROGRESS SERIES,10.3354/meps07201,2008,Article,WOS:000253609500024,P-004-43A,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Parasitic castration of the stenopodid shrimp Stenopus hispidus (Decapoda : Stenopodidae) induced by the bopyrid isopod Argeiopsis inhacae (Isopoda : Bopyridae),JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,10.1017/s0025315408000684,2008,Article,WOS:000255425500012,P-004-191,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"Gametogenic cycle of Hexaplex (Trunculariopsis) trunculus (Gastropoda : Muricidae) in the Ria Formosa lagoon (Algarve coast, southern Portugal)",JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,10.1017/s0025315408000593,2008,Article,WOS:000255425500014,P-004-192,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"Complete larval development of the hermit crabs Clibanarius aequabilis and Clibanarius erythropus (Decapoda : Anomura : Diogenidae), under laboratory conditions, with a revision of the larval features of genus Clibanarius",HELGOLAND MARINE RESEARCH,10.1007/s10152-007-0079-2,2008,Article,WOS:000256009100002,P-003-YTV,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"A growth equation for sole postlarvae (Solea senegalensis Kaup, 1858) in earthen ponds in the region of Tagus and Sado Estuaries (Portugal)",AQUACULTURE RESEARCH,10.1111/j.1365-2109.2008.01847.x,2008,Article,WOS:000256160200001,P-003-YK4,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"Metabolism of tryptophan, methionine and arginine in Diplodus sargus larvae fed rotifers: effect of amino acid supplementation",AMINO ACIDS,10.1007/s00726-007-0632-y,2008,Article,WOS:000256475700007,P-003-YMC,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Spatio-temporal variability in fatty acid trophic biomarkers in stomach contents and muscle of Iberian sardine (Sardina pilchardus) and its relationship with spawning,MARINE BIOLOGY,10.1007/s00227-008-0999-7,2008,Article,WOS:000256756600011,P-003-Y89,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"The artisanal fishery for muricid gastropods (banded murex and purple dye murex) in the Ria Formosa lagoon (Algarve coast, southern Portugal)",SCIENTIA MARINA,NULL,2008,Article,WOS:000257732200008,P-003-Z74,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Comparative petroleum hydrocarbons levels and biochemical responses in mussels from hydrothermal vents (Bathymodiolus azoricus) and coastal environments (Mytilus galloprovincialis),MARINE POLLUTION BULLETIN,10.1016/j.marpolbul.2008.02.015,2008,Article,WOS:000257816300039,P-004-43B,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Trawling for cephalopods off the Portuguese coast - Fleet dynamics and landings composition,FISHERIES RESEARCH,10.1016/j.fishres.2008.01.015,2008,Article,WOS:000258017900006,P-003-X96,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Comparison of indices for the assessment of reproductive activity in Hexaplex trunculus (Gastropoda : Muricidae),MARINE BIOLOGY RESEARCH,10.1080/17451000802020436,2008,Article,WOS:000259696000008,P-004-42T,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"Assessment of European cuttlefish (Sepia officinalis, L.) nutritional value and freshness under ice storage using a developed Quality Index Method (QIM) and biochemical methods",LWT-FOOD SCIENCE AND TECHNOLOGY,10.1016/j.lwt.2008.05.010,2009,Article,WOS:000260523100065,P-003-R7K,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Effect of lysine and tyrosine supplementation in the amino acid metabolism of Diplodus sargus larvae fed rotifers,AQUACULTURE,10.1016/j.aquaculture.2008.07.021,2008,Article,WOS:000261445000024,P-003-TZP,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Fish assemblages and rapid colonization after enlargement of an artificial reef off the Algarve coast (Southern Portugal),MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,10.1111/j.1439-0485.2008.00253.x,2008,Article,WOS:000261529800003,P-003-TNF,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"Successful cryop reservation of sperm from sex-reversed dusky grouper, Epinephelus marginatus",AQUACULTURE,10.1016/j.aquaculture.2008.10.019,2009,Article,WOS:000263024200021,P-003-NA2,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Diplodus spp. assemblages on artificial reefs: importance for near shore fisheries,FISHERIES MANAGEMENT AND ECOLOGY,10.1111/j.1365-2400.2008.00646.x,2009,Article,WOS:000263966100002,P-003-M2S,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Segmentation and fishery characteristics of the mixed-species multi-gear Portuguese fleet,ICES JOURNAL OF MARINE SCIENCE,10.1093/icesjms/fsp019,2009,Article,WOS:000264392100018,P-003-M3K,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Hormonal induction of Atlantic dusky grouper (Epinephelus marginatus) broodstock,CYBIUM,NULL,2008,Article,WOS:000267276400162,P-003-XNG,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Supplementation of tryptophan and lysine in Diplodus sargus larval diet: effects on growth and skeletal deformities,AQUACULTURE RESEARCH,10.1111/j.1365-2109.2009.02219.x,2009,Article,WOS:000267657000009,P-003-HHH,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Lunar and daily spawning rhythms of Senegal sole Solea senegalensis,JOURNAL OF FISH BIOLOGY,10.1111/j.1095-8649.2009.02263.x,2009,Article,WOS:000268459500004,P-003-HW2,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
A balanced amino acid diet improves Diplodus sargus larval quality and reduces nitrogen excretion,AQUACULTURE NUTRITION,10.1111/j.1365-2095.2008.00618.x,2009,Article,WOS:000269537800009,P-003-F57,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Influence of growth and reproductive cycle on the meat yield and proximate composition of Hexaplex trunculus (Gastropoda: Muricidae),JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,10.1017/s0025315409003026,2009,Article,WOS:000270118200019,P-003-GA9,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"Rearing larvae of dusky grouper, Epinephelus marginatus (Lowe, 1834), (Pisces: Serranidae) in a semi-extensive mesocosm",SCIENTIA MARINA,10.3989/scimar.2009.73s1201,2009,Article,WOS:000271157200019,P-003-FMF,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Importance of the mesoscale in the decadal changes observed in the northern Canary upwelling system,GEOPHYSICAL RESEARCH LETTERS,10.1029/2009gl040504,2009,Article,WOS:000271995100003,P-003-EB1,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Effect of age-at-weaning on digestive capacity of white seabream (Diplodus sargus),AQUACULTURE,10.1016/j.aquaculture.2009.11.019,2010,Article,WOS:000275579400029,P-003-92G,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Effect of harvesting stress and slaughter conditions on selected flesh quality criteria of gilthead seabream (Sparus aurata),AQUACULTURE,10.1016/j.aquaculture.2010.04.020,2010,Article,WOS:000279643800010,P-003-517,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
The influence of ovarian fluid on Solea senegalensis sperm motility,JOURNAL OF APPLIED ICHTHYOLOGY,10.1111/j.1439-0426.2010.01554.x,2010,Article,WOS:000281894400012,P-003-2FD,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Tyrosine and phenylalanine supplementation on Diplodus sargus larvae: effect on growth and quality,AQUACULTURE RESEARCH,10.1111/j.1365-2109.2009.02446.x,2010,Article,WOS:000282178000052,P-003-2TG,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Cytogenetics of Hediste diversicolor (Annelida: Polychaeta) and comparative karyological analysis within Nereididae,AQUATIC BIOLOGY,10.3354/ab00278,2010,Article,WOS:000283676800009,P-003-A55,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Feeding habits of Solea senegalensis in earthen ponds in Sado estuary,JOURNAL OF SEA RESEARCH,10.1016/j.seares.2010.03.002,2010,Article,WOS:000283686700003,P-003-1HP,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA; CENTRO
Dietary taurine supplementation enhances metamorphosis and growth potential of Solea senegalensis larvae,AQUACULTURE,10.1016/j.aquaculture.2010.08.031,2010,Article,WOS:000284817600022,P-003-0XH,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Shell strength and fishing damage to the smooth clam (Callista chione): simulating impacts caused by bivalve dredging,ICES JOURNAL OF MARINE SCIENCE,10.1093/icesjms/fsq149,2011,Article,WOS:000285193900005,P-002-YPF,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"Endocrine and milt response of Senegalese sole, Solea senegalensis, males maintained in captivity",THERIOGENOLOGY,10.1016/j.theriogenology.2010.07.003,2011,Article,WOS:000285669900001,P-002-ZMJ,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"Calcification, growth and mortality of juvenile clams Ruditapes decussatus under increased pCO(2) and reduced pH: Variable responses to ocean acidification at local scales?",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,10.1016/j.jembe.2010.10.020,2011,Article,WOS:000286550400014,P-002-YYA,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"Reproductive activity and biochemical composition of the pullet carpet shell Venerupis senegalensis (Gmelin, 1791) (Mollusca: Bivalvia) from Ria de Aveiro (northwestern coast of Portugal)",SCIENTIA MARINA,10.3989/scimar.2011.75n2217,2011,Article,WOS:000292995500002,P-002-QMZ,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Changes in Solea senegalensis sperm quality throughout the year,ANIMAL REPRODUCTION SCIENCE,10.1016/j.anireprosci.2011.04.009,2011,Article,WOS:000293424200019,P-002-QMA,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
RELATIONSHIP BETWEEN RAZOR CLAM FISHING INTENSITY AND POTENTIAL CHANGES IN ASSOCIATED BENTHIC COMMUNITIES,JOURNAL OF SHELLFISH RESEARCH,10.2983/035.030.0217,2011,Article,WOS:000294312200017,P-002-P2M,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"THE AFRICAN HIND'S (Cephalopholis taeniops, SERRANIDAE) USE OF ARTIFICIAL REEFS OFF SAL ISLAND (CAPE VERDE): A PRELIMINARY STUDY BASED ON ACOUSTIC TELEMETRY",BRAZILIAN JOURNAL OF OCEANOGRAPHY,10.1590/s1679-87592011000500009,2011,Article,WOS:000295722300009,P-002-X6D,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Cortisol response to air exposure in Solea senegalensis post-larvae is affected by dietary arachidonic acid-to-eicosapentaenoic acid ratio,FISH PHYSIOLOGY AND BIOCHEMISTRY,10.1007/s10695-011-9473-4,2011,Article,WOS:000296646800003,P-002-JB7,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"Age and growth of the smooth hammerhead shark, Sphyrna zygaena, in the Eastern Equatorial Atlantic Ocean, using vertebral sections",AQUATIC LIVING RESOURCES,10.1051/alr/2011145,2011,Article,WOS:000298634700002,P-002-KNE,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"Age and growth of the bigeye thresher shark, Alopias superciliosus, from the pelagic longline fisheries in the tropical northeastern Atlantic Ocean, determined by vertebral band counts",AQUATIC LIVING RESOURCES,10.1051/alr/2011046,2011,Article,WOS:000298634700003,P-002-KNF,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Responses of CYP450 dependent system to aliphatic and aromatic hydrocarbons body burden in transplanted mussels from South coast of Portugal,ECOTOXICOLOGY,10.1007/s10646-011-0834-7,2012,Article,WOS:000302065400011,P-002-BPX,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Evidence of non-random chromosome loss in bivalves: Differential chromosomal susceptibility in aneuploid metaphases of Crassostrea angulata (Ostreidae) and Ruditapes decussatus (Veneridae),AQUACULTURE,10.1016/j.aquaculture.2012.03.031,2012,Article,WOS:000303543500033,P-002-A01,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Lordotic-kyphotic vertebrae develop ectopic cartilage-like tissue in Senegalese sole (Solea senegalensis),JOURNAL OF APPLIED ICHTHYOLOGY,10.1111/j.1439-0426.2012.01978.x,2012,Article,WOS:000304251800027,P-002-9K1,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Osteology of the axial and appendicular skeletons of the meagre Argyrosomus regius (Sciaenidae) and early skeletal development at two rearing facilities,JOURNAL OF APPLIED ICHTHYOLOGY,10.1111/j.1439-0426.2012.01979.x,2012,Article,WOS:000304251800028,P-002-9K2,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Impact of dietary protein hydrolysates on skeleton quality and proteome in Diplodus sargus larvae,JOURNAL OF APPLIED ICHTHYOLOGY,10.1111/j.1439-0426.2012.01986.x,2012,Article,WOS:000304251800030,P-002-9K4,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
EFFECTS OF HOOK AND BAIT ON TARGETED AND BYCATCH FISHES IN AN EQUATORIAL ATLANTIC PELAGIC LONGLINE FISHERY,BULLETIN OF MARINE SCIENCE,10.5343/bms.2011.1064,2012,Article,WOS:000307320400005,P-002-87F,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
EFFECTS OF HOOK AND BAIT ON SEA TURTLE CATCHES IN AN EQUATORIAL ATLANTIC PELAGIC LONGLINE FISHERY,BULLETIN OF MARINE SCIENCE,10.5343/bms.2011.1065,2012,Article,WOS:000307320400020,P-002-87G,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
Teleost fish larvae adapt to dietary arachidonic acid supply through modulation of the expression of lipid metabolism and stress response genes,BRITISH JOURNAL OF NUTRITION,10.1017/s0007114511006143,2012,Article,WOS:000308365600012,P-002-5G4,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
Reproductive biology of cuckoo ray Leucoraja naevus,JOURNAL OF FISH BIOLOGY,10.1111/j.1095-8649.2012.03412.x,2012,Article,WOS:000308506900011,P-002-66Y,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
An overview of the hooking mortality of elasmobranchs caught in a swordfish pelagic longline fishery in the Atlantic Ocean,AQUATIC LIVING RESOURCES,10.1051/alr/2012030,2012,Article,WOS:000312631600003,P-002-4JW,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"Residency, movements and habitat use of adult white seabream (Diplodus sargus) between natural and artificial reefs",ESTUARINE COASTAL AND SHELF SCIENCE,10.1016/j.ecss.2012.12.014,2013,Article,WOS:000315370300009,P-002-0HK,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
The influence of coastal processes on inner shelf sediment distribution: The Eastern Algarve Shelf (Southern Portugal),GEOLOGICA ACTA,10.1344/105.000001755,2013,Article,WOS:000316581000004,P-005-2T6,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE; AREA METROPOLITANA DE LISBOA
"Solea senegalensis vasa transcripts: molecular characterisation, tissue distribution and developmental expression profiles",REPRODUCTION FERTILITY AND DEVELOPMENT,10.1071/rd11240,2013,Article,WOS:000317672900007,P-005-3FA,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
"Effect of two sulfur-containing amino acids, taurine and hypotaurine in European sea bass (Dicentrarchus labrax) sperm cryopreservation",CRYOBIOLOGY,10.1016/j.cryobiol.2013.04.001,2013,Article,WOS:000319180900019,P-005-0BG,Universidade do Algarve; Instituto Português do Mar e da Atmosfera,ALGARVE
